Year,Month,Company,Standard_Company,Category,Segment,Sub-Segment,1,2,3
2024,December,JSW MG Motor India Pvt Ltd (Comet EV),Jsw Mg Motor India Pvt (Comet Ev),Passenger Vehicles,Passenger Cars - Upto 5 Seats,Micro,,,0.0
2024,December,Total Micro,Total Micro,Passenger Vehicles,Passenger Cars - Upto 5 Seats,Micro,0.0,0.0,0.0
2024,December,"Maruti Suzuki India Ltd (Alto,Spresso)","Maruti Suzuki India (Alto,Spresso)",Passenger Vehicles,Passenger Cars - Upto 5 Seats,Mini,11087.0,7418.0,3878.0
2024,December,Renault India Pvt Ltd (Kwid),Renault India Pvt (Kwid),Passenger Vehicles,Passenger Cars - Upto 5 Seats,Mini,933.0,628.0,1321.0
2024,December,Total Mini,Total Mini,Passenger Vehicles,Passenger Cars - Upto 5 Seats,Mini,12020.0,8046.0,5199.0
2024,December,Honda Cars India Ltd (Amaze),Honda Cars India (Amaze),Passenger Vehicles,Passenger Cars - Upto 5 Seats,Compact,3120.0,2698.0,0.0
2024,December,"Hyundai Motor India Ltd (Aura,Grand i10,i20,Xcent)","Hyundai Motor India (Aura,Grand I10,I20,Xcent)",Passenger Vehicles,Passenger Cars - Upto 5 Seats,Compact,19364.0,11794.0,6590.0
2024,December,"Maruti Suzuki India Ltd (OEM Model#,Baleno,Celerio,Dzire,Ignis,Swift,WagonR)","Maruti Suzuki India (Oem Model#,Baleno,Celerio,Dzire,Ignis,Swift,Wagonr)",Passenger Vehicles,Passenger Cars - Upto 5 Seats,Compact,66437.0,54906.0,14289.0
2024,December,"Tata Motors Ltd (Altroz,Tiago,Tigor)","Tata Motors (Altroz,Tiago,Tigor)",Passenger Vehicles,Passenger Cars - Upto 5 Seats,Compact,,,
2024,December,Toyota Kirloskar Motor Pvt Ltd (Glanza),Toyota Kirloskar Motor Pvt (Glanza),Passenger Vehicles,Passenger Cars - Upto 5 Seats,Compact,0.0,3487.0,0.0
2024,December,Volkswagen India Pvt Ltd (Polo),Volkswagen India Pvt (Polo),Passenger Vehicles,Passenger Cars - Upto 5 Seats,Compact,0.0,0.0,0.0
